Time,Processor(_Total)\% Privileged Time
2024-04-27 17:15:26,0
2024-04-27 17:15:37,1.9909680949706434205
2024-04-27 17:15:48,0.95992742076117187899
2024-04-27 17:15:59,1.2779652419626914561
2024-04-27 17:16:10,1.5620470063681533013
2024-04-27 17:16:21,0.92304780920958728885
2024-04-27 17:16:32,1.0650358924934435478
2024-04-27 17:16:43,1.0309918059772609222
2024-04-27 17:16:54,1.3135026062745418507
2024-04-27 17:17:05,0.74539996674781505703
2024-04-27 17:17:16,1.8105600236208527765
2024-04-27 17:17:27,1.3154563932738716492
2024-04-27 17:17:38,2.2363937570199743377
2024-04-27 17:17:49,0.85204163034507862662
2024-04-27 17:18:00,0.85202775380209538891
2024-04-27 17:18:11,1.2425463663375428958
