Time,Memory\Available MBytes
2024-04-27 17:15:26,819
2024-04-27 17:15:37,808
2024-04-27 17:15:48,812
2024-04-27 17:15:59,822
2024-04-27 17:16:10,809
2024-04-27 17:16:21,811
2024-04-27 17:16:32,819
2024-04-27 17:16:43,810
2024-04-27 17:16:54,803
2024-04-27 17:17:05,802
2024-04-27 17:17:16,809
2024-04-27 17:17:27,802
2024-04-27 17:17:38,749
2024-04-27 17:17:49,762
2024-04-27 17:18:00,755
2024-04-27 17:18:11,760
