Time,Processor(_Total)\% Processor Time
2024-04-27 17:15:26,0
2024-04-27 17:15:37,2.9047519134068000568
2024-04-27 17:15:48,1.5541571965249634246
2024-04-27 17:15:59,1.8806686448644693854
2024-04-27 17:16:10,2.4785648525563974687
2024-04-27 17:16:21,1.6599064803631935483
2024-04-27 17:16:32,1.8036907121045109292
2024-04-27 17:16:43,1.5224633424316569297
2024-04-27 17:16:54,2.1618397144814727184
2024-04-27 17:17:05,1.3586780638105144803
2024-04-27 17:17:16,2.3717879349758774765
2024-04-27 17:17:27,1.8029239149998099734
2024-04-27 17:17:38,3.6930943064660604058
2024-04-27 17:17:49,1.4116834765770525095
2024-04-27 17:18:00,1.5197921230411304272
2024-04-27 17:18:11,2.1583132000040139431
